Date,Product,Quantity,Price,Cost
2026-01-01,iPhone 15,5,999.99,500.00
2026-01-01,Samsung S24,3,899.99,450.00
2026-01-01,iPad Air,2,599.99,300.00
2026-01-02,iPhone 15,8,999.99,500.00
2026-01-02,AirPods Pro,15,249.99,100.00
2026-01-02,Samsung S24,2,899.99,450.00
2026-01-03,iPhone 15,6,999.99,500.00
2026-01-03,iPad Air,4,599.99,300.00
2026-01-03,Apple Watch,10,399.99,200.00
2026-01-04,Samsung S24,4,899.99,450.00
2026-01-04,AirPods Pro,20,249.99,100.00
2026-01-04,iPhone 15,3,999.99,500.00
2026-01-05,iPad Air,5,599.99,300.00
2026-01-05,Apple Watch,8,399.99,200.00
2026-01-05,Samsung S24,1,899.99,450.00
2026-01-06,iPhone 15,12,999.99,500.00
2026-01-06,AirPods Pro,25,249.99,100.00
2026-01-06,Samsung S24,5,899.99,450.00
2026-01-07,iPad Air,3,599.99,300.00
2026-01-07,iPhone 15,7,999.99,500.00
2026-01-08,Apple Watch,12,399.99,200.00
2026-01-08,Samsung S24,2,899.99,450.00
2026-01-08,AirPods Pro,18,249.99,100.00
2026-01-09,iPhone 15,4,999.99,500.00
2026-01-09,iPad Air,6,599.99,300.00
2026-01-09,Samsung S24,3,899.99,450.00
2026-01-10,Apple Watch,9,399.99,200.00
2026-01-10,AirPods Pro,22,249.99,100.00
2026-01-10,iPhone 15,11,999.99,500.00
2026-02-01,Samsung S24,2,899.99,450.00
2026-02-01,iPad Air,4,599.99,300.00
2026-02-01,iPhone 15,6,999.99,500.00
2026-02-02,Apple Watch,7,399.99,200.00
2026-02-02,AirPods Pro,30,249.99,100.00
2026-02-02,Samsung S24,1,899.99,450.00
2026-02-03,iPhone 15,9,999.99,500.00
2026-02-03,iPad Air,2,599.99,300.00
2026-02-03,AirPods Pro,12,249.99,100.00
2026-02-04,Samsung S24,4,899.99,450.00
2026-02-04,iPhone 15,5,999.99,500.00
2026-02-04,Apple Watch,11,399.99,200.00
2026-02-05,iPad Air,8,599.99,300.00,sdhj
2026-02-05,AirPods Pro,16,249..99,100.00
2026-02-05,Samsung S24,3,899.99,450.00
2026-02-06,iPhone 15,10,999.99,500.00
2026-02-06,Apple Watch,5,399.99,200.00
2026-02-06,Samsung S24,2,899.99,450.00
2026-02-07,AirPods Pro,28,249.99,100.00
2026-02-07,iPad Air,3,599.99,300.00
2026-02-07,iPhone 15,4,999.99,500.00
2026-02-08,Samsung S24,6,899.99,450.00
2026-02-08,Apple Watch,8,399.99,200.00
2026-02-08,AirPods Pro,14,249.99,100.00
2026-02-09,iPhone 15,7,999.99,500.00
2026-02-09,iPad Air,5,599.99,300.00
2026-02-09,Samsung S24,1,899.99,450.00
2026-02-10,AirPods Pro,19,249.99,100.00
2026-02-10,Apple Watch,9,399.99,200.00
2026-02-10,iPhone 15,6,999.99,500.00
2026-03-01,Samsung S24,3,899.99,450.00
2026-03-01,iPad Air,7,599.99,300.00
2026-03-01,iPhone 15,8,999.99,500.00
2026-03-02,Apple Watch,6,399.99,200.00
2026-03-02,AirPods Pro,24,249.99,100.00
2026-03-02,Samsung S24,2,899.99,450.00
2026-03-03,iPhone 15,5,999.99,500.00
2026-03-03,iPad Air,4,599.99,300.00
2026-03-03,AirPods Pro,17,249.99,100.00
